cluster_id,canonical_dish,member_dish,support_count,proposed,accept
1,ปลาทอด,ปลาทอด,108,1,1
1,ปลาทอด,ทอดปลา,6,1,0
2,แกงส้ม,แกงส้ม,187,1,1
2,แกงส้ม,แกงสม,1,1,0
3,ปลาหมึกย่าง,ปลาหมึกย่าง,29,1,1
3,ปลาหมึกย่าง,ปลาหมึกย้าง,1,1,0
4,กุ้งอบวุ้นเส้น,กุ้งอบวุ้นเส้น,136,1,1
4,กุ้งอบวุ้นเส้น,กุ้งอบวฺ้นเส้น,1,1,0
4,กุ้งอบวุ้นเส้น,กุ้งอบวุ่นเส้น,3,1,0
5,ข้าวเหนียวมะม่วง,ข้าวเหนียวมะม่วง,73,1,1
5,ข้าวเหนียวมะม่วง,มะม่วงข้าวเหนียว,1,1,0
6,สะตอผัดกุ้ง,สะตอผัดกุ้ง,17,1,1
6,สะตอผัดกุ้ง,กุ้งผัดสะตอ,5,1,0
6,สะตอผัดกุ้ง,ผัดสะตอกุ้ง,6,1,0
7,กระพงทอดน้ำปลา,กระพงทอดน้ำปลา,16,1,1
7,กระพงทอดน้ำปลา,ปลากระพงทอดน้ำ,1,1,0
8,ข้าวขาหมู,ข้าวขาหมู,172,1,1
8,ข้าวขาหมู,ข้าวขาหมู่,1,1,0
9,น้ำซุป,น้ำซุป,524,1,1
9,น้ำซุป,น่ำซุป,1,1,0
10,ก๋วยเตี๋ยวต้มยำ,ก๋วยเตี๋ยวต้มยำ,80,1,1
10,ก๋วยเตี๋ยวต้มยำ,ก๋วยเตี๋ยว ต้มยำ,1,1,0
10,ก๋วยเตี๋ยวต้มยำ,ก้วยเตี๋ยวต้มยำ,1,1,0
10,ก๋วยเตี๋ยวต้มยำ,ก๊วยเตียวต้มยำ,1,1,0
10,ก๋วยเตี๋ยวต้มยำ,ก่วยเตี๋ยวต้มยำ,1,1,0
10,ก๋วยเตี๋ยวต้มยำ,ก๊วยเตี๊ยวต้มยำ,2,1,0
10,ก๋วยเตี๋ยวต้มยำ,ก้วยเตี้ยวต้มยำ,1,1,0
11,หมูสะเต๊ะ,หมูสะเต๊ะ,165,1,1
11,หมูสะเต๊ะ,หมูสะเต้ะ,1,1,0
11,หมูสะเต๊ะ,หมูสะเตะ,5,1,0
12,เย็นตาโฟต้มยำ,เย็นตาโฟต้มยำ,7,1,1
12,เย็นตาโฟต้มยำ,ต้มยำเย็นตาโฟ,2,1,0
13,น้ำซุปก๋วยเตี๋ยว,น้ำซุปก๋วยเตี๋ยว,6,1,1
13,น้ำซุปก๋วยเตี๋ยว,ก๋วยเตี๋ยวน้ำซุป,4,1,0
14,ก๋วยเตี๋ยวหมู,ก๋วยเตี๋ยวหมู,56,1,1
14,ก๋วยเตี๋ยวหมู,ก๊วยเตี๋ยวหมู,1,1,0
15,กระเพราหมูสับ,กระเพราหมูสับ,13,1,1
15,กระเพราหมูสับ,กะเพราหมูสับ,3,1,0
15,กระเพราหมูสับ,หมูสับกระเพรา,1,1,0
16,สเต๊กเนื้อ,สเต๊กเนื้อ,10,1,1
16,สเต๊กเนื้อ,สเตกเนื้อ,1,1,0
17,ซุปเห็ดทรัฟเฟิล,ซุปเห็ดทรัฟเฟิล,20,1,1
17,ซุปเห็ดทรัฟเฟิล,ซุปเห็ดทรัฟเฟิ้ล,1,1,0
18,ฉู่ฉี่ปลาเนื้ออ่อน,ฉู่ฉี่ปลาเนื้ออ่อน,26,1,1
18,ฉู่ฉี่ปลาเนื้ออ่อน,ฉู่ฉีปลาเนื้ออ่อน,1,1,0
18,ฉู่ฉี่ปลาเนื้ออ่อน,ฉูฉี่ปลาเนื้ออ่อน,1,1,0
18,ฉู่ฉี่ปลาเนื้ออ่อน,ปลาเนื้ออ่อนฉูฉี,1,1,0
18,ฉู่ฉี่ปลาเนื้ออ่อน,ฉุ่ฉี่ปลาเนื้ออ่อน,1,1,0
19,ต้มยำปลาคัง,ต้มยำปลาคัง,60,1,1
19,ต้มยำปลาคัง,ปลาคังต้มยำ,2,1,0
20,ปลาเนื้ออ่อนทอดกระเทียม,ปลาเนื้ออ่อนทอดกระเทียม,29,1,1
20,ปลาเนื้ออ่อนทอดกระเทียม,ปลาเนื้ออ่อน ทอดกระเทียม,1,1,0
21,ผัดผัก,ผัดผัก,64,1,1
21,ผัดผัก,ผักผัด,2,1,0
22,ข้าวผัดปู,ข้าวผัดปู,352,1,1
22,ข้าวผัดปู,ปูข้าวผัด,1,1,0
23,ผัดฉ่าปลากราย,ผัดฉ่าปลากราย,3,1,1
23,ผัดฉ่าปลากราย,ปลากรายผัดฉ่า,1,1,0
24,ปลาช่อน,ปลาช่อน,30,1,1
24,ปลาช่อน,ปลาช้อน,1,1,0
25,ฉู่ฉี่ปลาหมอ,ปลาหมอฉู่ฉี่,4,1,0
25,ฉู่ฉี่ปลาหมอ,ฉู่ฉี่ปลาหมอ,12,1,1
