cluster_id,category,canonical_keyword,member_keyword,support_count,proposed,accept
1,cuisine,thai,thai,38916,1,1
2,cuisine,italian,italian,172,1,1
3,cuisine,chinese,chinese,424,1,1
4,cuisine,japanese,japanese,836,1,1
5,cuisine,american,american,210,1,1
6,cuisine,others,others,340,1,1
7,cuisine,vietnamese,vietnamese,90,1,1
8,cuisine,korean,korean,605,1,1
9,cuisine,fusion,fusion,54,1,1
10,cuisine,indian,indian,15,1,1
11,cuisine,mexican,mexican,4,1,1
12,cuisine,german,german,1,1,1
13,others,อร่อยมาก,อร่อยมาก,772,1,1
13,others,อร่อยมาก,อร่อยม๊าก!!!!,1,1,0
13,others,อร่อยมาก,อร่อยมาก!,2,1,0
13,others,อร่อยมาก,อร่อยม๊าก,1,1,0
13,others,อร่อยมาก,อร่อยมาก!!,1,1,0
14,others,รสชาติใช้ได้,รสชาติใช้ได้,27,1,1
14,others,รสชาติใช้ได้,รสชาติใช่ได้,1,1,0
15,others,รสชาติดี,รสชาติดี,1079,1,1
15,others,รสชาติดี,รสชาติ ดี,1,1,0
16,others,ใช้ได้,ใช้ได้,37,1,1
16,others,ใช้ได้,ใช่ได้,1,1,0
17,others,แซบ,แซบ,14,1,1
17,others,แซบ,แซ่บ!!,1,1,0
18,others,จัดจ้าน,จัดจ้าน,62,1,1
18,others,จัดจ้าน,จัดจาน,1,1,0
19,others,ไม่สด,ไม่สด,93,1,1
19,others,ไม่สด,ไม่สุด,1,1,0
20,others,อร่อยมากกก,อร่อยมากกก,56,1,1
20,others,อร่อยมากกก,อร่อยมากกก!!!,1,1,0
20,others,อร่อยมากกก,อร่อยมากกก~~,1,1,0
21,others,แซ่บสมชื่อ,แซบสมชื่อ,1,1,0
21,others,แซ่บสมชื่อ,แซ่บสมชื่อ,1,1,1
22,others,หร่อยจังฮู้,หร๊อยจังฮู๊,1,1,0
22,others,หร่อยจังฮู้,หร่อยจังฮู้,1,1,1
23,others,รสชาติเข้มข้น,รสชาติเข้มข้น,130,1,1
23,others,รสชาติเข้มข้น,รสชาติ เข้มข้น,1,1,0
24,others,รสชาติกลมกล่อม,รสชาติกลมกล่อม,66,1,1
24,others,รสชาติกลมกล่อม,รสชาติกล่มกล่อม,1,1,0
25,others,แซ่บมาก,แซ่บมาก,37,1,1
25,others,แซ่บมาก,แซบมาก,5,1,0
25,others,แซ่บมาก,แซ๊บมาก,1,1,0
26,others,แซ่บนัว,แซ่บนัว,4,1,1
26,others,แซ่บนัว,นัวแซ่บ,1,1,0
27,others,เปรี้ยว,เปรี้ยว,53,1,1
27,others,เปรี้ยว,เปรี๊ยว,1,1,0
28,others,เนื้อนุ่ม,เนื้อนุ่ม,136,1,1
28,others,เนื้อนุ่ม,เนื่อนุ่ม,1,1,0
29,others,หอมๆ,หอม ๆ,1,1,0
29,others,หอมๆ,หอมๆ,12,1,1
30,others,เฉยๆ,เฉยๆ,34,1,1
30,others,เฉยๆ,เฉย ๆ,1,1,0
31,others,รสชาติพอใช้,รสชาติพอใช้,3,1,1
31,others,รสชาติพอใช้,รสชาติ พอ ใช้,1,1,0
32,others,อร่อยมากๆ,อร่อยมากๆ,116,1,1
32,others,อร่อยมากๆ,อร่อยมาก ๆ,4,1,0
33,others,อร่อยมากกกกกกก,อร่อยมากกกกกกก,6,1,1
33,others,อร่อยมากกกกกกก,อร่อยม๊ากกกกกกก,1,1,0
34,others,จี๊ดจ๊าด,จี๊ดจ๊าด,2,1,1
34,others,จี๊ดจ๊าด,จี๊ดจาด,1,1,0
35,others,หอมเครื่องสมุนไพร,เครื่องสมุนไพรหอม,1,1,0
35,others,หอมเครื่องสมุนไพร,หอมเครื่องสมุนไพร,1,1,1
36,others,ซดคล่องคอ,ซดคล่องคอ,7,1,1
36,others,ซดคล่องคอ,ซ๊ดคล่องคอ,1,1,0
37,others,ยอดเยี่ยม,ยอดเยี่ยม,12,1,1
37,others,ยอดเยี่ยม,เยี่ยมยอด,2,1,0
38,others,เปื่อยนุ่ม,เปื่อยนุ่ม,11,1,1
38,others,เปื่อยนุ่ม,เปื่อยนุ่ม,1,1,0
39,others,ok,ok,4,1,1
39,others,ok,OK,1,1,0
40,others,สดกรอบ,สดกรอบ,2,1,1
40,others,สดกรอบ,กรอบสุด,1,1,0
41,others,รสชาติพอดี,รสชาติพอดี,7,1,1
41,others,รสชาติพอดี,รสชาติ พอดี,2,1,0
42,others,อร่อยมากค่ะ,อร่อยมากค่ะ,47,1,1
42,others,อร่อยมากค่ะ,อร้อยมากค่ะ,1,1,0
43,others,รสชาติธรรมดา,รสชาติธรรมดา,31,1,1
43,others,รสชาติธรรมดา,รสชาติ ธรรมดา,2,1,0
44,others,กรอบนอก,กรอบนอก,15,1,1
44,others,กรอบนอก,นอกกรอบ,1,1,0
45,others,เหนียวนุ่ม,เหนียวนุ่ม,12,1,1
45,others,เหนียวนุ่ม,นุ่มเหนียว,1,1,0
45,others,เหนียวนุ่ม,เหนี่ยวนุ่ม,1,1,0
46,others,อร่อยมากกกก,อร่อยมากกกก,31,1,1
46,others,อร่อยมากกกก,อร่อยมากกกก!!,1,1,0
47,others,ให้ปริมาณเยอะ,ปริมาณให้เยอะ,2,1,0
47,others,ให้ปริมาณเยอะ,ให้ปริมาณเยอะ,6,1,1
48,others,สดๆ,สดๆ,15,1,1
48,others,สดๆ,สุดๆ,5,1,0
49,others,อร่อยสุด,สดอร่อย,7,1,0
49,others,อร่อยสุด,อร่อยสุด,8,1,1
50,others,หอมเครื่องแกง,หอมเครื่องแกง,8,1,1
50,others,หอมเครื่องแกง,เครื่องแกงหอม,3,1,0
51,others,ไก่นุ่ม,ไก่นุ่ม,16,1,1
51,others,ไก่นุ่ม,ไก่นุุ่ม,1,1,0
52,others,เนื้อนุ่มมาก,เนื้อนุ่มมาก,8,1,1
52,others,เนื้อนุ่มมาก,เนื่อนุ่มมาก,1,1,0
53,others,รสชาติดีกลมกล่อม,รสชาติกลมกล่อมดี,2,1,0
53,others,รสชาติดีกลมกล่อม,รสชาติดีกลมกล่อม,5,1,1
54,others,เปรี้ยวหวานเค็ม,เปรี้ยวหวานเค็ม,1,1,1
54,others,เปรี้ยวหวานเค็ม,เปรี้ยวเค็มหวาน,1,1,0
55,others,รสชาติแปลกๆ,รสชาติแปลกๆ,6,1,1
55,others,รสชาติแปลกๆ,รสชาติแปลก ๆ,1,1,0
56,others,หร่อย,หรอย,2,1,0
56,others,หร่อย,หร่อย,2,1,1
57,others,นุ่มๆ,นุ่มๆ,7,1,1
57,others,นุ่มๆ,นุ่ม ๆ,1,1,0
58,others,เริ่ด,เริ่ด,15,1,1
58,others,เริ่ด,เริด,1,1,0
59,others,ตกใจ,ตกใจ!!,1,1,0
59,others,ตกใจ,ตกใจ,3,1,1
60,others,ไม่เลี่ยน,ไม่เลี่ยน,20,1,1
