cluster_id,canonical_restaurant,raw_restaurant_name,canonical_freq,raw_freq,location_name,proposed,accept
1,ติ่งไท้ฝู ต้นตำรับ • รามคำแหง,ติ่งไท้ฝู ต้นตำรับ • รามคำแหง,9,9,,1,1
1,ติ่งไท้ฝู ต้นตำรับ • รามคำแหง,ติ้งไท้ฝู ต้นตำรับ • รามคำแหง,9,1,,1,0
2,ครัวประกายลาบยโส,ครัวประกายลาบยโส,13,13,,1,1
3,ภิรมย์ชมนา คาเฟ่,ภิรมย์ชมนา คาเฟ่,13,13,,1,1
4,Unknown,Unknown,52,52,,1,1
5,Zaab Eli (แซ่บอีลี่) – เซ็นทรัล พระราม 2,Zaab Eli (แซ่บอีลี่) – เซ็นทรัล พระราม 2,5,5,,1,1
6,พิกุลทองจิ้มจุ่ม สาขา1,พิกุลทองจิ้มจุ่ม สาขา1,11,11,,1,1
7,ร้านตะหลิว,ร้านตะหลิว,2,2,,1,1
8,โป้ง อาหารป่า,โป้ง อาหารป่า,2,2,,1,1
9,เนโกะราเมงไทรน้อย@PARK91,เนโกะราเมงไทรน้อย@PARK91,5,5,,1,1
10,ลุงช้งอาหารป่า,ลุงช้งอาหารป่า,4,4,,1,1
11,เล็กโภชนา,เล็กโภชนา,11,11,,1,1
12,ร้านอาหารบ้านนอกบ้านนา,ร้านอาหารบ้านนอกบ้านนา,3,3,,1,1
13,น้องสตางค์ กุ้งแม่น้ำเผา บางเลน,น้องสตางค์ กุ้งแม่น้ำเผา บางเลน,49,49,,1,1
14,จางวางอิ่ม,จางวางอิ่ม,10,10,,1,1
15,ร้านเม้งเจริญโภชนา,ร้านเม้งเจริญโภชนา,18,18,,1,1
16,ร้านเจ๋ง ครัวชายทะเล,ร้านเจ๋ง ครัวชายทะเล,30,30,,1,1
17,ร้านอาหารอีสาน เป็นตาแซ่บ สถานีหลักหก,ร้านอาหารอีสาน เป็นตาแซ่บ สถานีหลักหก,23,23,,1,1
18,ครัวยุพิน ซีฟู้ด,ครัวยุพิน ซีฟู้ด,22,22,,1,1
19,บ้านชายคลอง,บ้านชายคลอง,8,8,,1,1
20,Sky View Cafe' & Bistro,Sky View Cafe' & Bistro,3,3,,1,1
21,ช.ช้าง ยกครก,ช.ช้าง ยกครก,9,9,,1,1
22,Waterside Karaoke Restaurant,Waterside Karaoke Restaurant,1,1,,1,1
23,Nonstop Resort & Restaurant,Nonstop Resort & Restaurant,1,1,,1,1
24,เดนเวอร์ สเต็กเฮ้าส์,เดนเวอร์ สเต็กเฮ้าส์,7,7,,1,1
25,แจ่วแจ๋ว ชาบู (ตรงข้ามพุทธบูชา 43),แจ่วแจ๋ว ชาบู (ตรงข้ามพุทธบูชา 43),12,12,,1,1
26,กลับนครฯ (ร่มเกล้า),กลับนครฯ (ร่มเกล้า),44,44,,1,1
27,ข้าวต้ม OT,ข้าวต้ม OT,34,34,,1,1
28,ครัวเมืองใต้,ครัวเมืองใต้,11,11,,1,1
29,ไถนา,ไถนา,42,42,,1,1
30,สามเสนวิลล่า - ราชพฤกษ์​,สามเสนวิลล่า - ราชพฤกษ์​,19,19,,1,1
31,Wang-Chill,Wang-Chill,3,3,,1,1
32,ร้านอาหารแดมพ์ซี่ Dempsey Restaurant,ร้านอาหารแดมพ์ซี่ Dempsey Restaurant,2,2,,1,1
33,G2Connect,G2Connect,1,1,,1,1
34,ข้าวหมกไก่สยาม สวนสมเด็จฯ,ข้าวหมกไก่สยาม สวนสมเด็จฯ,16,16,,1,1
35,ยอดลาบเป็ดอุดร (คลอง 4 ลำลูกกา),ยอดลาบเป็ดอุดร (คลอง 4 ลำลูกกา),13,13,,1,1
36,Chinese restaurant,Chinese restaurant,7,7,,1,1
37,ครัวสามสมุทร,ครัวสามสมุทร,7,7,,1,1
38,ร้านอาหารป่าริมคลอง,ร้านอาหารป่าริมคลอง,8,8,,1,1
39,โคซี่สเปซคาเฟ่,โคซี่สเปซคาเฟ่,8,8,,1,1
40,โอ๊คแลนด์ คาเฟ่ เอ็กซ์ เรสเทอรองค์,โอ๊คแลนด์ คาเฟ่ เอ็กซ์ เรสเทอรองค์,6,6,,1,1
41,สไปซี่คัก ริมน้ำ by อำแดงไต้ฝุ่น,สไปซี่คัก ริมน้ำ by อำแดงไต้ฝุ่น,15,15,,1,1
42,Nuakak Nawamin 87 - นัวคัก นวมินทร์87,Nuakak Nawamin 87 - นัวคัก นวมินทร์87,9,9,,1,1
43,ร้านอาหารญี่ปุ่น นัมบะ756,ร้านอาหารญี่ปุ่น นัมบะ756,4,4,,1,1
44,ร้านป้าสุนทร กุ้งเหยียด,ร้านป้าสุนทร กุ้งเหยียด,10,10,,1,1
45,ครัวโบราณบันเทิง,ครัวโบราณบันเทิง,14,14,,1,1
46,ร้านอาหาร วิน แอนด์ เวฟ,ร้านอาหาร วิน แอนด์ เวฟ,13,13,,1,1
47,บ้านบนบัว Baan Bon Bua,บ้านบนบัว Baan Bon Bua,3,3,,1,1
48,ครัวเมืองไม้ ใน วู้ดแลนด์เมืองไม้,ครัวเมืองไม้ ใน วู้ดแลนด์เมืองไม้,2,2,,1,1
49,ครัวเสือดำ อาหารป่า,ครัวเสือดำ อาหารป่า,6,6,,1,1
50,ร้านอาหารจีน(เสฉวน)(ปิ้งย่างหมาล่า),ร้านอาหารจีน(เสฉวน)(ปิ้งย่างหมาล่า),1,1,,1,1
51,ร้านข้าวต้มเจ๊แต๋ม ข้างสระว่ายน้ำซิตี้พาร์ค,ร้านข้าวต้มเจ๊แต๋ม ข้างสระว่ายน้ำซิตี้พาร์ค,1,1,,1,1
52,แซ่บวัน รัชดา ซอย 5,แซ่บวัน รัชดา ซอย 5,12,12,,1,1
