dish_id,keyword_id,frequency
1,21,8
1,26,4
1,46,2
1,45,1
2,21,5
2,25,3
2,48,1
2,44,1
3,21,12
3,23,8
3,46,3
3,45,2
4,21,9
4,25,6
4,46,4
4,45,3
5,21,6
5,25,4
5,44,1
6,21,10
6,23,7
6,46,2
6,45,2
7,21,5
7,26,4
7,46,4
7,45,2
8,21,8
8,25,5
8,48,1
8,44,1
9,21,7
9,26,4
9,46,2
9,45,1
10,21,10
10,25,6
10,46,3
10,45,2
11,21,9
11,26,5
11,48,1
11,44,1
12,21,8
12,25,5
12,46,2
12,45,1
13,21,11
13,23,7
13,46,2
13,45,2
14,21,7
14,25,5
14,44,1
15,21,6
15,25,4
15,48,1
15,44,1
16,21,5
16,25,4
16,44,1
17,21,5
17,26,3
17,48,1
17,44,1
18,21,10
18,23,7
18,46,2
18,45,1
19,21,10
19,26,6
19,48,1
19,44,1
20,21,9
20,25,6
20,44,1
21,21,9
21,26,5
21,48,1
21,44,1
22,21,8
22,25,5
22,48,1
22,44,1
23,21,7
23,23,5
23,44,1
24,21,7
24,25,4
24,48,1
24,44,1
25,21,6
25,26,4
25,46,2
25,45,1
