dish_id,keyword_id,frequency
26,21,5
26,25,4
26,44,1
27,21,5
27,26,3
27,48,1
27,44,1
28,21,10
28,23,7
28,46,2
28,45,1
29,21,10
29,26,6
29,48,1
29,44,1
30,21,9
30,25,6
30,44,1
31,21,9
31,26,5
31,48,1
31,44,1
32,21,8
32,25,5
32,48,1
32,44,1
33,21,7
33,23,5
33,44,1
34,21,7
34,25,4
34,48,1
34,44,1
35,21,6
35,26,4
35,46,2
35,45,1
36,21,5
36,25,4
36,44,1
37,21,5
37,26,3
37,48,1
37,44,1
38,21,10
38,23,7
38,46,2
38,45,1
39,21,10
39,26,6
39,48,1
39,44,1
40,21,9
40,25,6
40,44,1
41,21,9
41,26,5
41,48,1
41,44,1
42,21,8
42,25,5
42,48,1
42,44,1
43,21,7
43,23,5
43,44,1
44,21,7
44,25,4
44,48,1
44,44,1
45,21,6
45,26,4
45,46,2
45,45,1
46,21,5
46,25,4
46,44,1
47,21,5
47,26,3
47,48,1
47,44,1
48,21,10
48,23,7
48,46,2
48,45,1
49,21,10
49,26,6
49,48,1
49,44,1
50,21,9
50,25,6
50,44,1
