keyword_id,keyword,category,sentiment
1,American,cuisine,neutral
2,Chinese,cuisine,neutral
3,Italian,cuisine,neutral
4,Japanese,cuisine,neutral
5,Thai,cuisine,neutral
6,French,cuisine,neutral
7,Mexican,cuisine,neutral
8,English,cuisine,neutral
9,Middle Eastern,cuisine,neutral
10,Others,cuisine,neutral
11,Halal,restriction,neutral
12,Vegan,restriction,neutral
13,Sweet,flavor,positive
14,Salty,flavor,neutral
15,Sour,flavor,neutral
16,Spicy,flavor,positive
17,Oily,flavor,negative
18,Cheap,cost,positive
19,Moderate,cost,neutral
20,Expensive,cost,negative
21,Umami,flavor,positive
22,Bitter,flavor,negative
23,Rich,flavor,positive
24,Light,flavor,positive
25,Fresh,flavor,positive
26,Hearty,flavor,positive
27,Delicate,flavor,positive
28,Robust,flavor,positive
29,Hot,flavor,neutral
30,Cold,flavor,neutral
31,Traditional,others,neutral
32,Modern,others,neutral
33,Authentic,others,positive
34,Exotic,others,neutral
35,Fusion,others,neutral
36,Street Food,others,positive
37,Gourmet,others,positive
38,Comfort,others,positive
39,Seasonal,others,neutral
40,Signature,others,positive
41,Sentiment,system,neutral
42,Small portion,others,negative
43,Chewy,others,negative
44,Low quality,others,negative
45,Terrible,others,negative
46,Overcooked,others,negative
47,Burnt,others,negative
48,Mushy,others,negative
49,Stale,others,negative
50,Undercooked,others,negative
51,Soggy,others,negative
